ID,User ID,Game Level,Player Score,"Player Score Loss 
(Low Quality)",Player Score Loss (Tardiness),AI Score,"AI Score Loss 
(Low Quality)","AI Score Loss 
(Tardiness)",User Strategy Index,User Strategy Description
8f69d8e2-6b49-4e8d-b507-fd507305f712,00212664-6c71-4e24-b61d-c7776f7a7d99,1,87.78%,12.22%,0.00%,95.28%,4.72%,0.00%,100010,
e21c4992-c14f-4344-96bf-81c883e46dc2,00212664-6c71-4e24-b61d-c7776f7a7d99,1,88.06%,11.94%,1.11%,91.39%,7.78%,0.83%,100010,
58e16a92-dc70-414b-a7d2-51fb17fb0093,35112a97-3b76-43e4-a403-6ce0bf79fb6b,1,73.89%,12.78%,12.22%,96.11%,3.06%,0.83%,100010,
76207e9e-bf8b-46b2-9652-2e177fedb72f,00212664-6c71-4e24-b61d-c7776f7a7d99,1,83.89%,16.11%,0.00%,93.33%,6.67%,0.00%,100010,
09637dcd-4b96-4b97-ad21-fc56fd966523,00212664-6c71-4e24-b61d-c7776f7a7d99,1,86.11%,13.06%,0.83%,91.39%,8.61%,0.00%,100010,
a71a2d56-1295-4d13-b323-6f5e1af3a00c,6afbfe97-9e62-442c-9497-f409661d7750,1,77.78%,14.72%,4.72%,97.22%,2.78%,0.83%,100010,
2b24c945-bdc5-43f4-ae8a-43ca32509320,00212664-6c71-4e24-b61d-c7776f7a7d99,6,54.83%,25.96%,20.45%,54.38%,22.47%,24.04%,100110,
a15ca8f7-87e1-496b-80f1-59493055c6d0,00212664-6c71-4e24-b61d-c7776f7a7d99,1,87.50%,12.50%,0.00%,90.28%,7.78%,1.94%,100010,
cdaff5a2-bc75-40c5-8960-3b3426eecce5,35112a97-3b76-43e4-a403-6ce0bf79fb6b,1,93.89%,6.11%,0.00%,93.89%,5.28%,1.67%,100010,
514bb081-259e-42dc-af8c-8cd5cdb5de2a,35112a97-3b76-43e4-a403-6ce0bf79fb6b,2,76.67%,12.50%,6.39%,88.89%,11.11%,0.00%,100010,
a102a937-9fae-4cb0-ae50-c53ba95863ad,35112a97-3b76-43e4-a403-6ce0bf79fb6b,3,73.48%,11.69%,14.38%,74.38%,12.58%,11.91%,100010,
3aa36d11-b49a-4410-b00f-47b34e50b0f3,35112a97-3b76-43e4-a403-6ce0bf79fb6b,4,57.30%,21.57%,16.63%,71.24%,17.53%,10.11%,100010,
9229efca-c1b3-4e28-b6ab-66541c15dbec,00212664-6c71-4e24-b61d-c7776f7a7d99,1,5.00%,0.00%,21.11%,95.56%,2.78%,2.50%,100100,
34bebf2c-df06-4bf2-94a2-3daf0d7a4fd8,00212664-6c71-4e24-b61d-c7776f7a7d99,1,5.00%,0.00%,21.11%,96.94%,3.06%,0.00%,110000,I assigned all tasks to one worker
bbccc090-56f9-4866-b4a3-6fcfcd243e7d,c6ff9693-fea4-44fa-ac3b-7ba2bd0580af,1,71.67%,22.50%,8.89%,96.39%,3.61%,0.00%,100001,
fbf82a50-1c21-4dbc-8169-27173e75ca9c,fc39ce6b-3cde-40ba-a6d5-01ac904cb872,1,76.39%,13.61%,5.00%,95.00%,5.00%,0.00%,110000,"Differetn workers seem to have differetn capabilities and have different attitude towards tasks, just need to find the balance"
570ad5a9-0b29-4b93-8917-f04e2bb97257,00212664-6c71-4e24-b61d-c7776f7a7d99,1,86.11%,13.89%,0.00%,90.83%,9.17%,3.06%,100010,
3b1c60d0-e6e9-453e-b6fc-cf8eeb1de636,00212664-6c71-4e24-b61d-c7776f7a7d99,1,92.78%,7.22%,0.00%,96.11%,3.06%,0.83%,100010,
61b11981-e566-4674-8fa7-5906930fb106,00212664-6c71-4e24-b61d-c7776f7a7d99,1,97.78%,2.22%,0.00%,96.39%,3.61%,0.00%,100010,
c8f04434-5006-4dfb-9acb-83dfd58e2d98,00212664-6c71-4e24-b61d-c7776f7a7d99,2,81.94%,6.67%,8.89%,89.72%,10.28%,0.00%,100010,
4ce0b3b7-73e1-4a85-a74d-8b8910ad37cf,00212664-6c71-4e24-b61d-c7776f7a7d99,1,17.50%,10.28%,43.06%,94.72%,5.28%,0.00%,100010,
58a798f5-b8cb-4e43-b112-645f7d96db81,00212664-6c71-4e24-b61d-c7776f7a7d99,1,21.39%,2.50%,43.61%,88.89%,10.28%,5.56%,100001,
6449bd06-b693-4012-93d3-48c4215b23bd,00212664-6c71-4e24-b61d-c7776f7a7d99,1,5.00%,0.00%,21.11%,94.72%,5.28%,0.00%,100001,
b653752e-b956-4a5c-827a-f33b47b29f02,00212664-6c71-4e24-b61d-c7776f7a7d99,2,88.06%,10.83%,1.11%,90.00%,8.33%,1.67%,100010,
5de4661e-2bd0-4963-93f5-23e1fa2494cc,00212664-6c71-4e24-b61d-c7776f7a7d99,6,62.13%,18.65%,19.89%,59.66%,19.55%,21.01%,100110,
af58cfd6-666d-43e3-a0ca-17a18bb4bb02,00212664-6c71-4e24-b61d-c7776f7a7d99,6,58.31%,23.60%,18.99%,53.48%,23.03%,26.85%,100110,
57e9a91d-a283-4a39-b5e9-958839d2f237,00212664-6c71-4e24-b61d-c7776f7a7d99,6,46.63%,30.90%,22.58%,53.15%,21.91%,23.37%,100010,
f6ae9eec-3969-4ca7-9ed5-797b897d4e37,00212664-6c71-4e24-b61d-c7776f7a7d99,1,88.89%,8.89%,2.22%,92.78%,7.22%,1.67%,100010,
9f34ac7b-9b9e-4658-89ca-9959344d569b,f984ed87-f7ca-4ea1-85c7-e8657e774440,1,83.33%,16.67%,0.00%,92.78%,7.22%,0.00%,100010,
e79841ba-2015-4e94-928a-0d0b89229a34,f984ed87-f7ca-4ea1-85c7-e8657e774440,1,95.83%,4.17%,0.00%,98.06%,1.94%,0.00%,100100,
863a9ec2-910d-4a03-9472-25069eb43fce,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,95.28%,4.72%,0.00%,87.78%,12.22%,0.00%,100010,
e2f9205f-9cee-491e-b412-ad57d72e76fd,f984ed87-f7ca-4ea1-85c7-e8657e774440,3,88.54%,9.89%,1.35%,85.62%,8.31%,6.07%,101000,
51c3951e-c98c-44f1-884e-c185b1248a84,f984ed87-f7ca-4ea1-85c7-e8657e774440,4,71.69%,20.45%,8.09%,66.29%,17.30%,12.36%,100001,
4fa0d040-8a41-495b-a43d-6ce5a7cf2f26,f984ed87-f7ca-4ea1-85c7-e8657e774440,1,96.39%,3.61%,0.00%,90.28%,9.72%,0.00%,101000,
c74bd1ae-e9f0-4688-a1af-5790218f8588,f984ed87-f7ca-4ea1-85c7-e8657e774440,5,70.34%,11.46%,21.01%,69.55%,8.99%,22.58%,100100,
ae2410b8-1640-4547-99ba-3b6b9fb691b2,f984ed87-f7ca-4ea1-85c7-e8657e774440,6,49.21%,23.03%,30.00%,46.29%,29.21%,25.96%,101000,
003f848a-42ee-4ed3-8f8d-0332924bf26f,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,88.06%,10.28%,0.83%,91.11%,8.89%,0.00%,100100,
01e72c92-5cd5-4d17-9da9-3b8ef88e66bf,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,80.83%,16.67%,1.67%,88.33%,11.67%,0.00%,100001,
16a051bc-ecc8-4c08-9dbe-c18d51932c8c,f984ed87-f7ca-4ea1-85c7-e8657e774440,3,88.31%,2.70%,6.74%,85.39%,7.19%,6.07%,100100,
bb924681-84f7-4c21-bd41-ad57bbb4dd1a,f984ed87-f7ca-4ea1-85c7-e8657e774440,4,76.40%,10.34%,7.42%,70.11%,16.63%,9.44%,100100,
7d59dab6-56c8-4d64-b39f-5e7527a7da86,f984ed87-f7ca-4ea1-85c7-e8657e774440,5,73.93%,7.75%,16.40%,67.53%,9.21%,22.58%,100100,
15064a55-6479-4a7b-b35e-c25d03f51124,f984ed87-f7ca-4ea1-85c7-e8657e774440,6,46.40%,24.72%,31.01%,50.90%,25.73%,25.51%,101000,
ce8c5f71-312e-42c8-81b8-73e7d6d46cb4,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,84.17%,8.61%,5.56%,85.00%,14.17%,0.83%,100010,
3744abd8-312a-4c59-87b4-92a82013d279,f984ed87-f7ca-4ea1-85c7-e8657e774440,6,61.57%,22.58%,17.87%,55.39%,23.60%,22.47%,101000,
83a90085-224d-4e9f-93ec-16cac51e8abc,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,93.06%,6.94%,0.00%,85.83%,12.50%,1.67%,101000,
cfb88758-a797-4482-8866-c91c2e787686,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,73.06%,22.22%,4.72%,92.22%,7.78%,3.06%,100010,
31c61b0b-f5a0-44ca-a351-f22677a7a188,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,76.94%,23.06%,0.00%,93.33%,5.00%,1.67%,100010,
31fc0279-688c-40e4-b636-875818b50474,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,90.56%,9.44%,0.00%,96.94%,3.06%,0.00%,100010,
be7135db-1f03-41eb-a302-c4ae0bd9399f,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,93.33%,6.67%,0.00%,93.33%,6.67%,0.83%,100010,
f111956e-84d2-417c-b52e-96ae20867675,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,96.94%,1.94%,1.11%,93.06%,6.94%,0.83%,100010,
d4f60b3e-6d71-443a-bff9-1dc63a4618b9,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,80.28%,17.78%,0.83%,85.00%,13.33%,2.50%,100010,
f8725d79-384d-4563-80ca-873cc1cbbb7a,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,80.00%,20.00%,0.00%,86.94%,12.22%,0.83%,100010,
f7595598-b686-4287-bcd5-2fccd043e2e5,db3c97b6-ba12-4819-8a7c-d5216812ee12,3,86.52%,8.99%,3.60%,84.94%,4.72%,8.09%,100010,
047be3e5-cdaf-4c27-ae03-2fc9e2759687,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,72.22%,27.78%,0.00%,90.28%,9.72%,0.00%,100010,
558eeccb-911c-4519-8173-871101a2ee43,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,77.78%,22.22%,0.00%,93.33%,4.44%,2.22%,100010,
f7dd7df3-9c1e-474a-bbd3-6ae47c9d8e90,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,82.50%,17.50%,0.00%,89.72%,8.61%,1.67%,100010,
01cf2547-f8fe-4e58-b034-378eed86cb68,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,92.22%,7.78%,0.00%,93.89%,6.11%,0.00%,100010,
88798168-d2e4-4ad0-ad14-9dabbff4172c,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,85.83%,9.17%,3.06%,86.39%,13.61%,0.00%,100010,
98d7a868-a399-4f16-92e1-04eac8cd870a,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,90.28%,9.72%,0.00%,88.06%,11.11%,0.83%,100010,
159dbaae-2ede-4713-91b7-91ea44a452f7,db3c97b6-ba12-4819-8a7c-d5216812ee12,4,67.64%,24.72%,7.42%,67.19%,18.88%,12.13%,100010,
05531d93-e845-4685-8615-1d4ebb393f42,db3c97b6-ba12-4819-8a7c-d5216812ee12,5,73.37%,7.98%,18.20%,71.91%,6.74%,21.35%,100010,
3e5d1203-118b-41c6-84ac-fba840d4dd4d,db3c97b6-ba12-4819-8a7c-d5216812ee12,6,59.89%,24.94%,17.42%,55.84%,23.26%,24.38%,100010,
5c2e1ed3-8968-43f4-b2d6-fcf7cd3e6b57,3a4f0339-72e9-4444-89ca-8520578513e2,1,81.94%,18.06%,0.00%,89.72%,9.44%,1.67%,101000,
a4b17636-a7f2-4b88-909a-ff756e6948c7,3a4f0339-72e9-4444-89ca-8520578513e2,2,82.22%,15.56%,1.11%,85.56%,12.50%,1.94%,101000,
fe8bbc35-41f2-4851-8d4a-e6a4402cbb8f,3a4f0339-72e9-4444-89ca-8520578513e2,3,72.13%,19.33%,6.97%,84.94%,6.97%,7.42%,101000,
d0fe96cc-b5b9-4372-bdac-396d37552e55,3a4f0339-72e9-4444-89ca-8520578513e2,4,42.02%,16.40%,31.24%,64.94%,21.57%,13.48%,101000,
5f7a9824-8a73-4ee5-b7f5-5dbf9f6d6642,3a4f0339-72e9-4444-89ca-8520578513e2,5,55.17%,16.07%,30.22%,69.10%,6.97%,22.25%,101000,
07e23592-8aa9-4cab-aba4-65edc9772dbd,3a4f0339-72e9-4444-89ca-8520578513e2,6,36.63%,30.67%,31.01%,51.12%,22.70%,27.53%,101000,
260fa060-7b23-480b-aae4-35ebbb7e5c36,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,1,79.72%,20.28%,0.00%,91.94%,8.06%,1.94%,100110,
341b3822-d27a-44cc-b71a-b6d5854eaaf9,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,1,85.83%,13.06%,1.11%,91.39%,8.61%,0.83%,100110,
de275749-69c3-464e-9e6f-57134800e618,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,1,81.11%,9.72%,2.22%,93.61%,5.56%,2.50%,101000,
d0120fbd-05b3-420b-af38-911536ddccbc,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,2,81.39%,13.61%,0.83%,93.06%,6.11%,0.83%,101110,
1e3e64bc-a23e-43c8-af69-3a2fe554786a,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,3,85.84%,14.16%,0.00%,86.52%,6.07%,4.27%,101110,
a162d279-4cce-4eaa-b79c-1e5891b2f897,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,4,70.79%,22.02%,4.49%,68.31%,20.90%,8.76%,101110,
